"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,poor solubility in CHCl3,"Sheng, Ning;?Liu, Dahui;?Wu, Jialu;?Gu, Bing;?Wang, Zhuyuan;?Cui, Yiping[Dyes and Pigments,?2015, vol. 119, p. 116 - 121]"
,,,,,,,Full Text
,,,,,,,Cited 34 timesDetailsAbstract
0.000202255,in pure solvent,,water,,,,"Sinha, Srishti;?Tikariha, Deepti;?Lakra, Jyotsna;?Tiwari, Amit K.;?Saha, Subit K.;?Ghosh, Kallol K.[Journal of Surfactants and Detergents,?2015, vol. 18, # 4, p. 629 - 640]"
,,,,,,,Full Text
,,,,,,,Cited 31 timesDetailsAbstract
0.000123,in pure solvent,30,water,,,,"Tian, Senlin;?Long, Jian;?He, Shanshan[Journal of Surfactants and Detergents,?2015, vol. 18, # 1, p. 1 - 7]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
0.000129,in pure solvent,25,water,,,,"Tian, Senlin;?Long, Jian;?He, Shanshan[Journal of Surfactants and Detergents,?2015, vol. 18, # 1, p. 1 - 7]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
0.000141579,in pure solvent,,water,,,,"Daskhan, Gour Chand;?Jayaraman, Narayanaswamy[Chemical Communications,?2014, vol. 50, # 62, p. 8554 - 8557]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,,,,,,nearly insoluble in water,"Ikeda, Atsushi;?Hida, Tomohiro;?Nakano, Toshiyuki;?Hino, Shodai;?Nobusawa, Kazuyuki;?Akiyama, Motofusa;?Sugikawa, Kouta[Chemistry Letters,?2014, vol. 43, # 10, art. no. CL-140595, p. 1551 - 1553]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
0.00013,in pure solvent,25,,,supporting information,,"Sun, Yubing;?Yang, Shubin;?Zhao, Guixia;?Wang, Qi;?Wang, Xiangke[Chemistry - An Asian Journal,?2013, vol. 8, # 11, p. 2755 - 2761]"
,,,,,,,Full Text
,,,,,,,Cited 162 timesDetailsAbstract
0.000132882,,,water,,,,"Panda, Manorama;?Kabir-Ud-Din[Journal of Molecular Liquids,?2013, vol. 187, p. 106 - 113]"
,,,,,,,Full Text
,,,,,,,Cited 32 timesDetailsAbstract
,in pure solvent,,,,,,"Yalkowsky;?Valvani[Journal of Pharmaceutical Sciences,?1980, vol. 69, # 8, p. 912 - 922]"
,,,,,,,Full Text
,,,,,,,Cited 522 timesDetailsAbstract
,,,,,,,"Miller;?Hawthorne;?Clifford;?Zhu[Journal of Chemical and Engineering Data,?1996, vol. 41, # 4, p. 779 - 786]"
,,,,,,,Full Text
,,,,,,,Cited 113 timesDetailsAbstract
,,,,,,,"McHale;?Horton;?Padilla;?Trufant;?De La Sancha;?Vela;?Acree Jr.[Journal of Chemical and Engineering Data,?1996, vol. 41, # 6, p. 1522 - 1524]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,,,,,,"McHale;?Coym;?Fletcher;?Acree[Journal of Chemical and Engineering Data,?1997, vol. 42, # 3, p. 511 - 513]"
,,,,,,,Full Text
,,,,,,,Cited 24 timesDetailsAbstract
,,,,,,,"Miller;?Hawthorne;?Gizir;?Clifford[Journal of Chemical and Engineering Data,?1998, vol. 43, # 6, p. 1043 - 1047]"
,,,,,,,Full Text
,,,,,,,Cited 163 timesDetailsAbstract
,,,,,,,"Lippold, Holger;?Gottschalch, Uta;?Kupsch, Hermann[Chemosphere,?2008, vol. 70, # 11, p. 1979 - 1986]"
,,,,,,,Full Text
,,,,,,,Cited 46 timesDetailsAbstract
,in pure solvent,25,H2O,,,Solubility: 95 not given,"Esteves da Silva, Joaquim C.G.;?Marques, Miguel C.P.O.[Environmental Pollution,?2007, vol. 146, # 1, p. 174 - 179]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
0.00014,,25,water,,,,"Jurjanz, Stefan;?Rychen, Guido[Journal of Agricultural and Food Chemistry,?2007, vol. 55, # 21, p. 8800 - 8805]"
,,,,,,,Full Text
,,,,,,,Cited 13 timesDetailsAbstract
,in solution,50,H2O,,,"high pressure, Solubility: 6.87e-06 mol-percent","Andersson, Terhi A.;?Hartonen, Kari M.;?Riekkola, Marja-Liisa[Journal of Chemical and Engineering Data,?2005, vol. 50, # 4, p. 1177 - 1183]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,in solution,100,H2O,,,"high pressure, Solubility: 6.37e-05 mol-percent","Andersson, Terhi A.;?Hartonen, Kari M.;?Riekkola, Marja-Liisa[Journal of Chemical and Engineering Data,?2005, vol. 50, # 4, p. 1177 - 1183]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,in solution,140,H2O,,,"high pressure, Solubility: 0.00054 mol-percent","Andersson, Terhi A.;?Hartonen, Kari M.;?Riekkola, Marja-Liisa[Journal of Chemical and Engineering Data,?2005, vol. 50, # 4, p. 1177 - 1183]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,in solution,200,H2O,,,"high pressure, Solubility: 0.00492 mol-percent","Andersson, Terhi A.;?Hartonen, Kari M.;?Riekkola, Marja-Liisa[Journal of Chemical and Engineering Data,?2005, vol. 50, # 4, p. 1177 - 1183]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,in solution,250,H2O,,,"high pressure, Solubility: 0.0205 mol-percent","Andersson, Terhi A.;?Hartonen, Kari M.;?Riekkola, Marja-Liisa[Journal of Chemical and Engineering Data,?2005, vol. 50, # 4, p. 1177 - 1183]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,in solution,300,H2O,,,"high pressure, Solubility: 0.141 mol-percent","Andersson, Terhi A.;?Hartonen, Kari M.;?Riekkola, Marja-Liisa[Journal of Chemical and Engineering Data,?2005, vol. 50, # 4, p. 1177 - 1183]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,in pure solvent,26,propan-1-ol,,,Solubility: 0.426 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,26,acetonitrile,,,Solubility: 0.614 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,26,isobutanol,,,Solubility: 0.326 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,26,propan-2-ol,,,Solubility: 0.29 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,26,3-methyl-butan-1-ol,,,Solubility: 0.546 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,26,butan-1-ol,,,Solubility: 0.622 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,26,various solvent(s),,,Solubility: 0.64 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,26,butan-2-ol,,,Solubility: 0.439 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in solution,26,"propan-1-ol, acetonitrile",0.7268:0.2732,,Solubility: 0.865 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in solution,26,"isobutanol, acetonitrile",0.6926:0.3074,,Solubility: 0.872 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in solution,26,"propan-2-ol, acetonitrile",0.7338:0.2662,,Solubility: 0.686 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in solution,26,"pentan-1-ol, acetonitrile",0.6291:0.3709,,Solubility: 1.223 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in solution,26,"butan-1-ol, acetonitrile",0.6963:0.3037,,Solubility: 1.217 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in solution,26,"various solvent(s), acetonitrile",0.6267:0.3733,,Solubility: 1.517 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in solution,26,"butan-2-ol, acetonitrile",0.6748:0.3252,,Solubility: 1.118 mol-percent,"Monarrez, Cassandra I.;?Woo, Jee H.;?Taylor, Priscilla G.;?Tran, Anh M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2003, vol. 48, # 3, p. 736 - 738]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,in pure solvent,25,H2O,,,Solubility 6.57E-7 mol/l,"Zhu, Lizhong;?Feng, Shaoliang[Chemosphere,?2003, vol. 53, # 5, p. 459 - 467]"
,,,,,,,Full Text
,,,,,,,Cited 222 timesDetailsAbstract
16.7876,in pure solvent,20,octane,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
10.3153,in pure solvent,20,"2,2,4-trimethyl-pentane",,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
42.4746,in pure solvent,20,cyclohexene,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
111.243,in pure solvent,20,benzene,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
212.373,in pure solvent,20,CH2Cl2,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
198.215,in pure solvent,20,CHCl3,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
50.565,in pure solvent,20,diethyl ether,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
24.2712,in pure solvent,20,dibutyl ether,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
76.8588,in pure solvent,20,acetone,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
5.66328,in pure solvent,20,methanol,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
10.113,in pure solvent,20,propan-1-ol,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
5.86554,in pure solvent,20,propan-2-ol,,,,"Leshchev;?Sin'kevich[Russian Journal of Applied Chemistry,?2003, vol. 76, # 9, p. 1483 - 1488]"
,,,,,,,Full Text
,,,,,,,Cited 7 timesDetailsAbstract
,in pure solvent,,,,,temperature dependence,"Reza;?Vera-Avila;?Trejo[Chemosphere,?2002, vol. 47, # 9, p. 933 - 945]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in pure solvent,,,,,equation,"Ruelle, Paul;?Kesselring, Ulrich W.[Journal of Pharmaceutical Sciences,?1998, vol. 87, # 8, p. 998 - 1014]"
,,,,,,,Full Text
,,,,,,,Cited 42 timesDetailsAbstract
,,,,,,,"Jain, Neera;?Yalkowsky, Samuel H.[Journal of Pharmaceutical Sciences,?2001, vol. 90, # 2, p. 234 - 252]"
,,,,,,,Full Text
,,,,,,,Cited 324 timesDetailsAbstract
,in solution,,,,,concentration dependence. Object(s) of Study: solvent dependence,"Debase, Ebun M.;?Acree Jr., William E.[Journal of Chemical and Engineering Data,?2001, vol. 46, # 4, p. 991 - 993]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
0.000425,in pure solvent,25,H2O,,,,"Itoh, Hiroyasu;?Ishido, Sayoko;?Nomura, Masashi;?Hayakawa, Tsuyoshi;?Mitaku, Shigeki[Journal of Physical Chemistry,?1996, vol. 100, # 21, p. 9047 - 9053]"
,,,,,,,Full Text
,,,,,,,Cited 47 timesDetailsAbstract
,in pure solvent,26,hexane,,,Solubility: 0.857 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,various solvent(s),,,Solubility: 2.077 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,heptane,,,Solubility: 1.102 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,octane,,,Solubility: 1.372 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,cyclohexane,,,Solubility: 1.100 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,methylcyclohexane,,,Solubility: 1.292 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"2,2,4-trimethyl-pentane",,,Solubility: 0.720 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,various solvent(s),,,Solubility: 1.594 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"hexane, various solvent(s)",9.42 molpercent 1-octanol,,Solubility: 1.131 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"cyclohexane, various solvent(s)",8.10 molpercent 1-octanol,,Solubility: 1.364 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"methylcyclohexane, various solvent(s)",9.05 molpercent 1-octanol,,Solubility: 1.576 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"hexane, various solvent(s)",17.59 molpercent 1-octanol,,Solubility: 1.262 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"hexane, various solvent(s)",35.61 molpercent 1-octanol,,Solubility: 1.499 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"hexane, various solvent(s)",45.89 molpercent 1-octanol,,Solubility: 1.615 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"hexane, various solvent(s)",55.04 molpercent 1-octanol,,Solubility: 1.705 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"hexane, various solvent(s)",76.36 molpercent 1-octanol,,Solubility: 1.917 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"hexane, various solvent(s)",87.07 molpercent 1-octanol,,Solubility: 1.978 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"heptane, various solvent(s)",11.06 molpercent 1-octanol,,Solubility: 1.386 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"heptane, various solvent(s)",19.22 molpercent 1-octanol,,Solubility: 1.492 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"heptane, various solvent(s)",37.94 molpercent 1-octanol,,Solubility: 1.693 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"heptane, various solvent(s)",48.00 molpercent 1-octanol,,Solubility: 1.782 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"heptane, various solvent(s)",58.42 molpercent 1-octanol,,Solubility: 1.868 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"heptane, various solvent(s)",78.86 molpercent 1-octanol,,Solubility: 1.979 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"heptane, various solvent(s)",87.24 molpercent 1-octanol,,Solubility: 2.017 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"octane, various solvent(s)",11.81 molpercent 1-octanol,,Solubility: 1.659 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"octane, various solvent(s)",21.57 molpercent 1-octanol,,Solubility: 1.760 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,in pure solvent,26,"octane, various solvent(s)",40.40 molpercent 1-octanol,,Solubility: 1.904 mol-percent,"Zvaigzne, Anita I.;?Acree, William E.[Journal of Chemical and Engineering Data,?1995, vol. 40, # 5, p. 1127 - 1129]"
