"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
1.03,in pure solvent,20,tert-butyl methyl ether,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.26,in pure solvent,20,butanone,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.27,in pure solvent,20,acetonitrile,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.45,in pure solvent,20,dichloromethane,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.99,in pure solvent,20,acetone,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
5.26,in pure solvent,20,tetrahydrofuran,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
